Ticker,Name,Market Cap,Sector,Industry,Dividend Yield,Gross Margin,Revenue Growth (QoQ),Correlation to S&P 500,1 Year Volatility,P/E Ratio,Debt/Equity (D/E) Ratio,Return on Equity (ROE),Return on Assets (ROA/ROI),1 Year Return,Correlation to U.S. Treasuries,Enterprise Val,P/B Ratio
"AAPL","Apple Inc",2960654513840,"Technology","Computer Hardware",0.00515021459227468,0.451708418065208,-0.00718833891686821,0.738858492790906,0.353996639453548,30.5237848738595,1.78753258455894,1.60784069952964,0.283916612026976,0.317900430944161,0.217485938141444,3010187513840,47.6403069198339
"MSFT","Microsoft Corporation",2814765986079.7,"Technology","Application Software",0.008115346119512,0.711555815064494,0.127588683611987,0.564501775176932,0.349525839684736,36.5098836007017,0.385063928885345,0.383201864913092,0.192451202913628,0.513646037349759,0.202596474774743,2755803986079.7,12.7530015589392
"AMZN","Amazon.com Inc",1509693296470.72,"Consumer Cyclical","Retail - Apparel & Specialty",0.00963391136801541,0.475674957891573,0.125742519728405,0.637585388513378,3.01691467029283,75.187673513159,0.748684232099818,0.123156848794131,0.0424605731934193,0.615902816123689,0.21717096506786,1582513296470.72,8.25090749165571
"LLY","Lilly(Eli) & Company",561849841091.78,"Healthcare","Drug Manufacturers",0.00739988867424118,0.804171141010254,0.368358879797165,0.205868252912276,0.288166518998742,112.631272771185,1.79746711347189,0.45221238135816,0.0926427101948489,0.627454981084482,0.118990363903259,579524241091.78,50.0739582449627
"V","Visa Inc - Class A",519249298200.122,"Financial Services","Credit Services",0.00852773564019515,0.825996050644674,0.105560549634005,0.741685428089351,0.315695632498664,30.0613268222151,0.528309193710789,0.45098333583546,0.196353818827709,0.194130156222819,0.309467518824319,517820298200.122,13.4058631709427
"TSM","Taiwan Semiconductor Manufacturing",512799203937.408,"Technology","Semiconductors",0.00949501025290499,0.482790931343274,0.0552729600125714,0.492705379324389,0.399643660418946,16.165575447982,0.0877211356488155,0.33708088979565,0.19999347894422,0.25447083482229,0.203991822643653,489845668154.095,5.44910655606449
"UNH","Unitedhealth Group Inc",495554723262.22,"Healthcare","Health Care Plans",0.01564157497348,0.253223763276708,0.141753405691399,0.0207817814949373,0.242317745698407,22.8503123190031,0.74998224726016,0.2661544928221,0.0794678690485897,-0.00858816686326369,0.0457916369215409,511210723262.22,5.86496938554477
"JPM","JPMorgan Chase & Company",448467079329.36,"Financial Services","Banks",0.0293911826452064,1,0.218792028365326,0.655783510020575,0.297579280012136,9.06250412903367,2.13319112332255,0.161547244309766,0.0130426924412226,0.184120630022375,-0.215177324992233,614111079329.36,1.41306886681316
"WMT","Walmart Inc",420297704280.96,"Consumer Defensive","Retail - Defensive",0.0142268813178585,0.246127004553554,0.0573927606487024,0.480781166322627,0.274068779662336,29.9336019002179,0.814533159032631,0.186649031095986,0.0566725225447944,0.0665896112008333,0.305532678188487,471210704280.96,5.28304218765348
"XOM","Exxon Mobil Corp",409686749821.58,"Energy","Oil & Gas - Integrated",0.0364368587592291,0.234420449537241,-0.190149014009101,0.28689025575173,0.354499500557832,9.96077680091369,0.206571759062207,0.207600667774577,0.111618818884015,-0.00221960322699155,-0.135064199985209,417966749821.58,2.05148019720074
