loan_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,delinq_2yrs,pub_rec_bankruptcies,loan_status
12000, 60 months,12.29,268.7,10+ years,MORTGAGE,46000,0,0,Charged Off
11000, 36 months,5.32,331.27,10+ years,MORTGAGE,54000,0,0,Fully Paid
3925, 36 months,6.89,121,2 years,RENT,55000,0,0,Fully Paid
4800, 36 months,14.08,164.24,10+ years,RENT,30000,0,0,Fully Paid
7000, 36 months,13.49,237.52,5 years,MORTGAGE,45000,0,1,Fully Paid
21000, 60 months,17.86,531.67,8 years,MORTGAGE,97000,0,1,Charged Off
6400, 36 months,8.99,203.49,10+ years,RENT,29000,0,0,Fully Paid
11200, 60 months,11.99,249.09,8 years,RENT,50000,0,0,Current
24000, 60 months,12.69,542.28,9 years,MORTGAGE,75000,0,0,Fully Paid
20000, 60 months,12.29,447.83,1 year,RENT,188000,0,0,Late (31-120 days)
2500, 36 months,15.59,87.39,< 1 year,RENT,40000,0,0,Late (16-30 days)
16150, 60 months,14.99,384.13,10+ years,MORTGAGE,36000,0,1,Current
35000, 60 months,18.99,907.73,1 year,MORTGAGE,142648,0,0,Current
15000, 36 months,20.2,558.99,3 years,RENT,70000,0,0,Fully Paid
2500, 36 months,12.74,83.93,2 years,MORTGAGE,35000,0,0,Charged Off
4650, 36 months,13.99,158.91,10+ years,MORTGAGE,87000,0,0,Fully Paid
14025, 36 months,10.99,459.1,5 years,MORTGAGE,32000,0,0,Fully Paid
30050, 36 months,6.99,927.72,10+ years,MORTGAGE,220000,0,0,Current
16000, 60 months,15.02,380.81,,MORTGAGE,60000,0,0,Current
10000, 60 months,9.75,211.25,10+ years,RENT,58000,0,0,Current
3500, 36 months,12.49,117.08,2 years,MORTGAGE,75000,0,1,Fully Paid
7000, 36 months,13.99,239.21,10+ years,MORTGAGE,60000,0,1,Fully Paid
5400, 36 months,6.62,165.8,3 years,MORTGAGE,120000,0,0,Fully Paid
35000, 36 months,6.67,1075.43,9 years,OWN,108000,0,0,Fully Paid
6025, 36 months,7.96,188.7,10+ years,OWN,77700,1,0,Current
20000, 36 months,16.35,706.59,9 years,MORTGAGE,90000,0,0,Fully Paid
10000, 60 months,24.37,289.84,10+ years,MORTGAGE,76000,1,0,Current
9600, 36 months,9.76,308.69,8 years,RENT,61000,0,1,Fully Paid
25000, 36 months,12.49,836.23,10+ years,MORTGAGE,172000,2,0,Fully Paid
8800, 36 months,19.99,327,< 1 year,OWN,28000,0,1,Current
21000, 60 months,14.47,493.77,9 years,MORTGAGE,67000,0,0,Current
3500, 36 months,10.47,113.71,4 years,RENT,52701,0,0,Current
2300, 36 months,11.44,75.78,6 years,MORTGAGE,53000,0,0,Fully Paid
8500, 36 months,16.29,300.06,4 years,MORTGAGE,25000,0,0,Fully Paid
18200, 36 months,10.99,595.76,8 years,MORTGAGE,64000,0,0,Fully Paid
5000, 36 months,11.49,164.86,10+ years,OWN,70000,0,0,Fully Paid
22000, 36 months,6.11,670.38,8 years,MORTGAGE,89000,0,1,Current
25000, 36 months,11.47,824.05,2 years,OWN,60000,0,0,Current
24000, 60 months,7.89,485.38,2 years,RENT,185000,0,0,Fully Paid
24000, 60 months,12.29,537.4,10+ years,RENT,86600,0,0,Fully Paid
12000, 36 months,11.49,395.66,10+ years,MORTGAGE,87000,0,0,Fully Paid
9000, 36 months,13.11,303.73,5 years,OWN,90000,0,0,Charged Off
35000, 36 months,11.99,1162.34,10+ years,MORTGAGE,114320.27,0,0,Fully Paid
10000, 60 months,21.45,273.08,10+ years,MORTGAGE,45000,0,0,Fully Paid
24000, 60 months,11.99,533.75,4 years,MORTGAGE,105000,0,0,Fully Paid
30000, 36 months,17.27,1073.62,5 years,MORTGAGE,70000,0,0,Fully Paid
24000, 36 months,8.9,762.08,1 year,RENT,80000,0,0,Fully Paid
10000, 60 months,10.64,215.64,5 years,MORTGAGE,43000,0,0,Late (31-120 days)
12000, 36 months,16.29,423.61,4 years,RENT,73000,0,1,Fully Paid
3200, 36 months,12.99,107.81,5 years,RENT,43637,0,0,Current
17925, 60 months,15.61,432.2,10+ years,MORTGAGE,72000,0,0,Charged Off
7500, 36 months,17.77,270.28,3 years,RENT,91800,0,0,Fully Paid
8000, 36 months,14.33,274.71,10+ years,RENT,54000,0,0,Fully Paid
18000, 36 months,15.99,632.74,10+ years,RENT,65004,0,0,Charged Off
4800, 36 months,11.44,158.15,6 years,OWN,60000,0,0,Fully Paid
40000, 36 months,8.24,1257.89,< 1 year,MORTGAGE,65000,0,0,Current
15200, 60 months,17.97,385.74,3 years,MORTGAGE,40000,1,0,Current
15000, 36 months,15.31,522.26,4 years,RENT,60000,0,0,Fully Paid
9800, 36 months,8.24,308.19,5 years,MORTGAGE,65000,0,0,Fully Paid
18000, 36 months,17.76,648.58,5 years,MORTGAGE,73900,0,0,Fully Paid
10000, 60 months,13.49,230.05,1 year,RENT,80500,2,0,Current
16000, 36 months,10.99,523.75,3 years,RENT,50000,0,0,Fully Paid
24000, 36 months,5.32,722.76,2 years,RENT,120000,0,0,Current
14000, 60 months,28.69,441.75,10+ years,MORTGAGE,143000,0,0,Fully Paid
15000, 60 months,15.1,357.64,8 years,MORTGAGE,95000,0,1,Fully Paid
12000, 60 months,9.58,252.5,2 years,MORTGAGE,60320,0,0,Current
5000, 36 months,12.29,166.77,5 years,RENT,16000,0,0,Fully Paid
2100, 36 months,14.08,71.86,10+ years,MORTGAGE,41000,1,0,Fully Paid
6000, 36 months,13.99,205.04,< 1 year,MORTGAGE,60000,0,0,Fully Paid
3500, 36 months,7.49,108.86,< 1 year,RENT,73000,0,0,Fully Paid
12050, 36 months,13.49,408.87,3 years,RENT,80000,0,0,Current
34800, 60 months,29.49,1115.03,< 1 year,RENT,90000,3,0,Charged Off
38000, 60 months,9.44,796.96,2 years,MORTGAGE,115000,0,0,Current
21000, 36 months,6.62,644.78,5 years,MORTGAGE,160000,0,0,Fully Paid
35000, 36 months,22.74,1350.11,2 years,RENT,170000,0,0,Charged Off
25000, 60 months,8.19,509.19,3 years,MORTGAGE,80000,0,0,Current
15800, 36 months,14.65,545.01,7 years,RENT,39500,0,0,Fully Paid
8800, 36 months,13.99,300.73,4 years,RENT,82000,2,1,Fully Paid
12600, 60 months,10.99,273.9,8 years,MORTGAGE,47000,0,0,Fully Paid
5000, 36 months,6.24,152.66,10+ years,MORTGAGE,65000,0,0,Fully Paid
20000, 60 months,15.05,476.33,10+ years,MORTGAGE,63000,2,0,Current
32000, 60 months,13.99,744.42,5 years,MORTGAGE,250000,2,0,Fully Paid
25000, 36 months,10.99,818.35,10+ years,OWN,123000,0,0,Fully Paid
16000, 36 months,7.34,496.53,10+ years,MORTGAGE,60000,0,0,Current
15000, 60 months,13.06,341.76,10+ years,MORTGAGE,70000,0,0,Current
25000, 36 months,18.49,909.97,10+ years,MORTGAGE,69000,0,0,Fully Paid
14000, 60 months,12.49,314.9,10+ years,MORTGAGE,42000,0,0,Fully Paid
18000, 60 months,17.99,456.99,1 year,OWN,40000,0,0,Late (31-120 days)
13500, 36 months,13.11,455.59,6 years,RENT,72000,0,0,Fully Paid
1000, 36 months,11.53,33,10+ years,MORTGAGE,92800,0,0,Fully Paid
35000, 60 months,25.34,1034.29,< 1 year,MORTGAGE,107000,0,0,Current
5000, 36 months,7.9,156.46,< 1 year,MORTGAGE,76500,0,0,Fully Paid
18000, 36 months,12.49,602.08,10+ years,MORTGAGE,120000,0,0,Fully Paid
16000, 36 months,7.49,497.63,10+ years,MORTGAGE,60000,0,0,Current
28000, 60 months,7.34,558.94,2 years,MORTGAGE,68000,0,0,Current
24000, 36 months,11.14,787.33,8 years,MORTGAGE,250000,0,0,Fully Paid
15000, 36 months,8.19,471.37,2 years,RENT,40000,0,0,Fully Paid
6000, 36 months,9.93,193.41,,RENT,60000,0,0,Current
11000, 60 months,14.16,256.87,9 years,MORTGAGE,80000,1,0,Fully Paid
10000, 36 months,11.71,330.76,10+ years,RENT,92000,0,0,Fully Paid
3500, 36 months,14.49,120.46,< 1 year,RENT,35000,0,0,Fully Paid
25000, 60 months,13.18,571.14,10+ years,MORTGAGE,60000,0,0,Fully Paid
24000, 60 months,22.74,673,3 years,MORTGAGE,74000,1,0,Fully Paid
11150, 36 months,14.33,382.88,10+ years,RENT,31000,0,0,Charged Off
5000, 36 months,13.67,170.09,10+ years,MORTGAGE,42000,0,0,Fully Paid
2400, 36 months,9.17,76.51,10+ years,RENT,48000,0,0,Fully Paid
24000, 60 months,13.65,554.1,10+ years,MORTGAGE,120000,1,0,Fully Paid
10000, 36 months,5.32,301.15,4 years,MORTGAGE,56000,0,1,Fully Paid
5000, 36 months,12.69,167.73,1 year,RENT,52000,0,0,Fully Paid
20000, 36 months,14.52,688.62,10+ years,RENT,79000,0,0,Fully Paid
25600, 36 months,5.32,770.94,2 years,MORTGAGE,200000,0,0,Fully Paid
19000, 60 months,16.99,472.1,,MORTGAGE,46800,1,0,Charged Off
9250, 36 months,14.99,320.61,2 years,MORTGAGE,110000,2,0,Current
11200, 60 months,15.05,266.75,10+ years,MORTGAGE,65000,5,0,Current
4000, 36 months,24.37,157.71,4 years,RENT,109000,0,0,Charged Off
15350, 36 months,13.11,518.02,10+ years,RENT,165000,0,0,Charged Off
5000, 36 months,6.72,153.75,6 years,RENT,25000,1,0,Current
1400, 36 months,13.49,47.51,9 years,RENT,100000,0,0,Fully Paid
6000, 36 months,13.99,205.04,6 years,RENT,72000,0,0,Fully Paid
6250, 36 months,13.65,212.55,10+ years,RENT,65000,1,0,Fully Paid
12000, 60 months,15.05,285.8,10+ years,MORTGAGE,60000,1,0,Current
2000, 36 months,11.47,65.93,10+ years,RENT,55000,1,0,Charged Off
32625, 60 months,13.99,758.96,10+ years,RENT,68000,0,0,Fully Paid
12800, 36 months,17.57,460,9 years,MORTGAGE,80000,0,0,Charged Off
25350, 60 months,20.39,677.14,4 years,RENT,40701,0,0,Current
15000, 36 months,7.56,467.01,9 years,MORTGAGE,100000,0,0,Current
15000, 36 months,12.62,502.67,10+ years,RENT,65000,0,0,Current
13000, 36 months,8.9,412.8,10+ years,RENT,50000,0,0,Fully Paid
3000, 36 months,18.25,108.84,4 years,RENT,50000,0,0,Fully Paid
12000, 36 months,6.49,367.74,4 years,RENT,40000,0,0,Fully Paid
3000, 36 months,13.49,101.8,10+ years,RENT,38000,0,0,Current
8000, 36 months,8.24,251.58,10+ years,RENT,62000,0,0,Current
16000, 60 months,12.98,363.89,3 years,RENT,123000,0,0,Current
9600, 36 months,13.99,328.06,9 years,RENT,108400,0,0,Fully Paid
29625, 60 months,18.55,761.18,10+ years,MORTGAGE,65000,0,0,Charged Off
16800, 36 months,10.91,549.3,3 years,RENT,110000,2,0,Fully Paid
15000, 36 months,7.9,469.36,7 years,MORTGAGE,46161,0,0,Fully Paid
6400, 36 months,6.68,196.68,8 years,RENT,78000,0,1,Fully Paid
15000, 60 months,18.99,389.03,1 year,MORTGAGE,45000,0,0,Charged Off
7500, 36 months,11.44,247.11,10+ years,MORTGAGE,67200,1,0,Fully Paid
18000, 36 months,16.99,641.66,2 years,RENT,78000,0,1,Charged Off
20000, 36 months,10.91,653.93,,RENT,39000,0,1,Fully Paid
2400, 36 months,7.56,74.73,10+ years,MORTGAGE,54000,0,0,Current
24000, 36 months,6.99,740.95,10+ years,RENT,130000,0,0,Fully Paid
8000, 36 months,6.99,246.99,9 years,RENT,97000,0,0,Fully Paid
30000, 36 months,11.98,996.15,9 years,MORTGAGE,96000,0,0,Current
15000, 36 months,8.18,471.3,< 1 year,MORTGAGE,50000,0,1,Charged Off
6000, 36 months,18.49,218.4,6 years,MORTGAGE,56000,0,0,Fully Paid
24600, 60 months,14.47,578.42,3 years,MORTGAGE,65000,0,1,Current
26025, 36 months,13.56,883.93,10+ years,OWN,65000,0,0,Current
12000, 36 months,11.99,398.52,10+ years,OWN,63000,0,1,Current
3000, 36 months,9.75,96.45,10+ years,RENT,80000,0,1,Fully Paid
20000, 36 months,12.49,668.98,1 year,RENT,80000,0,0,Fully Paid
