XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
1.0000000,0.7584819,0.6642778,0.8504140,0.9027950,0.7453263,0.7462862,0.7858870,0.6127171,0.7591859,0.8040577
0.7584819,1.0000000,0.5371847,0.7622585,0.7687785,0.8614248,0.5746405,0.7244194,0.4939495,0.5992755,0.8274848
0.6642778,0.5371847,1.0000000,0.7741067,0.6970871,0.4645686,0.4785911,0.4684961,0.3122313,0.5017812,0.5234461
0.8504140,0.7622585,0.7741067,1.0000000,0.8969715,0.6787967,0.6451982,0.6980305,0.4895063,0.6447219,0.7266236
0.9027950,0.7687785,0.6970871,0.8969715,1.0000000,0.7831547,0.7473627,0.7506003,0.5754254,0.7473162,0.7940243
0.7453263,0.8614248,0.4645686,0.6787967,0.7831547,1.0000000,0.6160648,0.7116746,0.4799737,0.6538742,0.8905759
0.7462862,0.5746405,0.4785911,0.6451982,0.7473627,0.6160648,1.0000000,0.7408458,0.7166010,0.7429981,0.5799807
0.7858870,0.7244194,0.4684961,0.6980305,0.7506003,0.7116746,0.7408458,1.0000000,0.7259829,0.6936121,0.7932422
0.6127171,0.4939495,0.3122313,0.4895063,0.5754254,0.4799737,0.7166010,0.7259829,1.0000000,0.5846324,0.4925322
0.7591859,0.5992755,0.5017812,0.6447219,0.7473162,0.6538742,0.7429981,0.6936121,0.5846324,1.0000000,0.6529376
0.8040577,0.8274848,0.5234461,0.7266236,0.7940243,0.8905759,0.5799807,0.7932422,0.4925322,0.6529376,1.0000000
