Ticker,Name,Market Cap,Sector,Industry
AAPL,Apple Inc,2.99098E+12,Technology,Computer Hardware
MSFT,Microsoft Corporation,2.80734E+12,Technology,Application Software
GOOGL,Alphabet Inc - Class A,1.74622E+12,Technology,Online Media
AMZN,Amazon.com Inc,1.51372E+12,Consumer Cyclical,Retail - Apparel & Specialty
NVDA,NVIDIA Corp,1.20329E+12,Technology,Semiconductors
META,Meta Platforms Inc - Class A,8.78709E+11,Technology,Online Media
BRK-B,Berkshire Hathaway Inc - Class B,7.90218E+11,Financial Services,Insurance
TSLA,Tesla Inc,7.43381E+11,Consumer Cyclical,Autos
LLY,Lilly(Eli) & Company,5.64916E+11,Healthcare,Drug Manufacturers
V,Visa Inc - Class A,5.18208E+11,Financial Services,Credit Services
TSM,Taiwan Semiconductor Manufacturing,5.11606E+11,Technology,Semiconductors
UNH,Unitedhealth Group Inc,5.03688E+11,Healthcare,Health Care Plans
NVO,Novo Nordisk,4.67066E+11,Healthcare,Biotechnology
JPM,JPMorgan Chase & Company,4.4559E+11,Financial Services,Banks
WMT,Walmart Inc,4.16501E+11,Consumer Defensive,Retail - Defensive
XOM,Exxon Mobil Corp,4.16372E+11,Energy,Oil & Gas - Integrated
AVGO,Broadcom Inc,4.0113E+11,Technology,Semiconductors
JNJ,Johnson & Johnson,3.91977E+11,Healthcare,Drug Manufacturers
MA,Mastercard Incorporated - Class A,3.86618E+11,Financial Services,Credit Services
PG,Procter & Gamble Company,3.56E+11,Consumer Defensive,Consumer Packaged Goods
ORCL,Oracle Corp,3.15505E+11,Technology,Application Software
HD,Home Depot Inc,3.0922E+11,Consumer Cyclical,Retail - Apparel & Specialty
ADBE,Adobe Inc,2.82468E+11,Technology,Application Software
ASML,ASML Holding NV,2.71318E+11,Technology,Semiconductors
CVX,Chevron Corp,2.695E+11,Energy,Oil & Gas - Integrated
COST,Costco Wholesale Corp,2.6105E+11,Consumer Defensive,Retail - Defensive
MRK,Merck & Co Inc,2.58015E+11,Healthcare,Drug Manufacturers
KO,Coca-Cola Company,2.52628E+11,Consumer Defensive,Beverages - Non-Alcoholic
SHEL,Shell Plc ADR (Representing - ),2.51348E+11,Unknown Sector,Unknown Industry
TM,Toyota Motor Corporation,2.50846E+11,Consumer Cyclical,Autos
ABBV,Abbvie Inc,2.44406E+11,Healthcare,Drug Manufacturers
BAC,Bank Of America Corp,2.35451E+11,Financial Services,Banks
PEP,PepsiCo Inc,2.32945E+11,Consumer Defensive,Beverages - Non-Alcoholic
ACN,Accenture plc - Class A,2.21414E+11,Technology,Application Software
CRM,Salesforce Inc,2.1802E+11,Technology,Application Software
NFLX,Netflix Inc,2.11824E+11,Consumer Cyclical,Entertainment
NVS,Novartis AG,2.10394E+11,Healthcare,Drug Manufacturers
BABA,Alibaba Group Holding Ltd,2.06401E+11,Consumer Cyclical,Retail - Apparel & Specialty
MCD,McDonald`s Corp,2.0546E+11,Consumer Cyclical,Restaurants
AHBIF,AnheuserBusch InBev SANV,2.04327E+11,Unknown,Unknown
LIN,Linde Plc.,2.00848E+11,Basic Materials,Chemicals
AMD,Advanced Micro Devices Inc,1.97936E+11,Technology,Semiconductors
AZN,Astrazeneca plc,1.96937E+11,Healthcare,Drug Manufacturers
CSCO,Cisco Systems Inc,1.94958E+11,Technology,Communication Equipment
TMO,Thermo Fisher Scientific Inc,1.88162E+11,Healthcare,Medical Diagnostics & Research
SAP,Sap SE,1.88158E+11,Technology,Application Software
INTC,Intel Corp,1.8289E+11,Technology,Semiconductors
TTE,TotalEnergies SE,1.78337E+11,Energy,Oil & Gas - Integrated
ABT,Abbott Laboratories,1.78221E+11,Healthcare,Medical Devices
CMCSA,Comcast Corp - Class A,1.75236E+11,Communication Services,Communication Services
TMUS,T-Mobile US Inc,1.75186E+11,Communication Services,Communication Services
DIS,Walt Disney Co (The),1.73957E+11,Consumer Cyclical,Entertainment
PFE,Pfizer Inc,1.71185E+11,Healthcare,Drug Manufacturers
NKE,Nike Inc - Class B,1.65115E+11,Consumer Cyclical,Manufacturing - Apparel & Furniture
DHR,Danaher Corp,1.63397E+11,Healthcare,Medical Diagnostics & Research
INTU,Intuit Inc,1.58018E+11,Technology,Application Software
BHP,BHP Group Ltd,1.57489E+11,Basic Materials,Metals & Mining
VZ,Verizon Communications Inc,1.57021E+11,Communication Services,Communication Services
HSBC,HSBC Holdings plc,1.56965E+11,Financial Services,Banks
WFC,Wells Fargo & Company,1.55978E+11,Financial Services,Banks
PDD,PDD Holdings Inc,1.48305E+11,Consumer Cyclical,Retail - Apparel & Specialty
PM,Philip Morris International Inc,1.45641E+11,Consumer Defensive,Tobacco Products
QCOM,Qualcomm Inc,1.4229E+11,Technology,Semiconductors
AMGN,AMGEN Inc,1.4153E+11,Healthcare,Biotechnology
IBM,International Business Machines Corp,1.41324E+11,Technology,Application Software
TXN,Texas Instruments Inc,1.39763E+11,Technology,Semiconductors
SIEGY,Siemens AG,1.39145E+11,Unknown,Unknown
COP,Conoco Phillips,1.37532E+11,Energy,Oil & Gas - E&P
NOW,ServiceNow Inc,1.36611E+11,Technology,Application Software
UNP,Union Pacific Corp,1.36207E+11,Industrials,Transportation & Logistics
BA,Boeing Company,1.3265E+11,Industrials,Aerospace & Defense
SPGI,S&P Global Inc,1.32085E+11,Financial Services,Brokers & Exchanges
GE,General Electric Company,1.3017E+11,Industrials,Industrial Products
MS,Morgan Stanley,1.30055E+11,Financial Services,Brokers & Exchanges
UPS,United Parcel Service Inc - Class B,1.28808E+11,Industrials,Transportation & Logistics
HON,Honeywell International Inc,1.27686E+11,Industrials,Industrial Products
BUD,Anheuser-Busch InBev SA/NV,1.26603E+11,Consumer Defensive,Beverages - Alcoholic
AMAT,Applied Materials Inc,1.25525E+11,Technology,Semiconductors
CAT,Caterpillar Inc,1.255E+11,Industrials,Farm & Construction Machinery
NTTYY,Nippon Telegraph & Telephone Corp,1.22037E+11,Unknown,Unknown
UL,Unilever plc,1.2172E+11,Consumer Defensive,Consumer Packaged Goods
RY,Royal Bank Of Canada,1.20832E+11,Financial Services,Banks
AXP,American Express Company,1.20625E+11,Financial Services,Credit Services
SONY,Sony Group Corporation,1.18844E+11,Technology,Computer Hardware
SBUX,Starbucks Corp,1.1848E+11,Consumer Cyclical,Restaurants
SNY,Sanofi,1.1741E+11,Healthcare,Drug Manufacturers
LOW,Lowe`s Cos. Inc,1.16305E+11,Consumer Cyclical,Retail - Apparel & Specialty
NEE,NextEra Energy Inc,1.16303E+11,Utilities,Utilities - Regulated
RTX,RTX Corp,1.16179E+11,Industrials,Aerospace & Defense
T,AT&T Inc,1.15599E+11,Communication Services,Communication Services
RIO,Rio Tinto plc,1.13647E+11,Basic Materials,Metals & Mining
LMT,Lockheed Martin Corp,1.13425E+11,Industrials,Aerospace & Defense
MUFG,Mitsubishi UFJ Financial Group Inc,1.13163E+11,Financial Services,Banks
UBER,Uber Technologies Inc,1.1315E+11,Unknown Sector,Unknown Industry
ELV,Elevance Health Inc,1.13104E+11,Healthcare,Health Care Plans
BKNG,Booking Holdings Inc,1.11716E+11,Consumer Cyclical,Travel & Leisure
SYK,Stryker Corp,1.11674E+11,Healthcare,Medical Devices
